id,user_id,image_id,label_id,top,left,bottom,right,time_effort,token,creation_date,is_validated,is_correct
20,A1ZZINLCZZYOH4,199,8,252,1367,500,1532,22,CMYSI479O17NIS7GF6PN,1/1/2020 20:44:30.802,1,
23,A3696JXTRKL2FI,14,6,165,354,443,483,9,NP5YY7AF24DB0A09N44X,1/1/2020 20:44:42.049,1,
24,A3696JXTRKL2FI,14,12,194,565,477,777,3,NP5YY7AF24DB0A09N44X,1/1/2020 20:44:42.049,1,
25,A3696JXTRKL2FI,14,22,167,886,492,1234,12,NP5YY7AF24DB0A09N44X,1/1/2020 20:44:42.049,1,
22,A2A1E85FL1JAB9,134,4,118,749,529,1087,20,7U8P3SXAI44SVH0V073N,1/1/2020 20:44:39.346,1,
26,A1O4AAQX2KCD3N,88,3,113,247,511,657,23,G9OYM7O7YGRGOWYNU73A,1/1/2020 20:44:46.711,1,
27,A1O4AAQX2KCD3N,88,10,157,1601,314,1738,28,G9OYM7O7YGRGOWYNU73A,1/1/2020 20:44:46.711,1,
28,A3JC5R5HMP1XSA,70,19,224,487,545,1073,7,EPW1E8G3130KGMYL3Q3F,1/1/2020 20:44:49.396,1,
29,A2JV461I3AIXOH,239,19,145,343,259,1073,23,J1ZR8N7G6H11YSYC14LX,1/1/2020 20:44:53.288,1,
39,A37O5SYY9VWSPY,142,22,192,91,386,420,18,QJRLYPLFWY3F4EOKH6J7,1/1/2020 20:45:08.853,1,
35,A2DDPSXH2X96RF,293,8,99,562,510,1807,32,18RE53SN8UJYS1189PIC,1/1/2020 20:45:07.066,1,
36,A2DDPSXH2X96RF,293,17,59,190,501,561,22,18RE53SN8UJYS1189PIC,1/1/2020 20:45:07.066,1,
37,A3K2ES8HRZ7LKH,252,13,183,982,445,1568,21,YZOAUTSPJ6ZCNEGR1YD6,1/1/2020 20:45:07.252,1,
38,A3K2ES8HRZ7LKH,252,13,169,629,442,847,14,YZOAUTSPJ6ZCNEGR1YD6,1/1/2020 20:45:07.252,1,
40,A3C99LYQMQISUF,13,22,251,610,513,1041,28,XG8EH97G3PJRZYRGGD3B,1/1/2020 20:45:10.176,1,
41,A3C99LYQMQISUF,13,22,255,1085,527,1546,13,XG8EH97G3PJRZYRGGD3B,1/1/2020 20:45:10.176,1,
42,A3C99LYQMQISUF,13,22,251,402,489,569,6,XG8EH97G3PJRZYRGGD3B,1/1/2020 20:45:10.176,1,
33,A3L9VMKSTT7RQN,199,12,131,1208,285,1540,9,3MVD20Q8RKFF1UUNTF4O,1/1/2020 20:45:05.039,1,
34,A3L9VMKSTT7RQN,199,6,128,1552,296,1716,6,3MVD20Q8RKFF1UUNTF4O,1/1/2020 20:45:05.039,1,
43,A1M6QZ12GMIBTW,382,19,195,131,524,469,9,CTJSVL5ROSQOD5B8EA01,1/1/2020 20:45:16.854,1,
47,A610SH5RY1NG1,150,9,482,2003,482,2003,13,VX8J0VUGTG4EHQ1WRIW5,1/1/2020 20:45:20.679,1,
44,A2HWF3DPE0MDCN,34,7,223,634,505,1188,30,9NNK1GMYGZN7HQAKD0PM,1/1/2020 20:45:18.912,1,
45,A2HWF3DPE0MDCN,34,19,237,1269,513,1746,18,9NNK1GMYGZN7HQAKD0PM,1/1/2020 20:45:18.912,1,
46,A3GCF0OSH6XSWT,272,19,231,634,515,2007,26,IIXADUI7484PAW7YXZ61,1/1/2020 20:45:19.888,1,
48,A1CA6ZXKK09ZRI,153,12,163,355,426,624,24,49LEUHLHOE9QA8B4DKWO,1/1/2020 20:45:30.139,0,
49,A2YO837C0O1E91,174,6,158,341,529,966,12,VHRHAAE94HLF7VVKRJ73,1/1/2020 20:45:36.282,1,
50,A2YO837C0O1E91,174,13,164,975,523,1454,9,VHRHAAE94HLF7VVKRJ73,1/1/2020 20:45:36.282,1,
51,A2YO837C0O1E91,174,13,168,1434,513,1948,8,VHRHAAE94HLF7VVKRJ73,1/1/2020 20:45:36.282,1,
52,AKXI55UNBFS4,225,19,104,548,376,1273,13,9P63YBUMK3O1TH67FBQI,1/1/2020 20:45:37.483,1,
53,A2MO6KP997CF10,229,19,154,607,518,1403,14,HLDZXARUEWWK9VGD6KBE,1/1/2020 20:45:45.665,1,
55,A3P7AZ2YH4ICQJ,187,3,174,1293,484,2004,15,KSB8AMT6TN5GD63THG9O,1/1/2020 20:45:57.807,1,
54,AF7ZV0U3CGOK0,212,6,191,535,457,1109,34,IJDIFM80DSMZAOBSM3N5,1/1/2020 20:45:52.664,1,
61,A3696JXTRKL2FI,200,8,122,1531,476,1654,14,3PFUCVRFEBFZVN4U8EAH,1/1/2020 20:46:01.84,1,
62,A3696JXTRKL2FI,200,12,126,1192,491,1524,3,3PFUCVRFEBFZVN4U8EAH,1/1/2020 20:46:01.84,1,
56,A3NFTGELZVAOGR,194,21,160,223,482,530,13,QUZ5J7XJ92SZHV004PFD,1/1/2020 20:46:00.463,1,
57,A3NFTGELZVAOGR,194,6,156,531,489,773,9,QUZ5J7XJ92SZHV004PFD,1/1/2020 20:46:00.463,1,
58,A3NFTGELZVAOGR,194,20,158,775,480,1037,3,QUZ5J7XJ92SZHV004PFD,1/1/2020 20:46:00.463,1,
59,A3NFTGELZVAOGR,194,6,141,1103,480,1408,8,QUZ5J7XJ92SZHV004PFD,1/1/2020 20:46:00.463,1,
60,A3NFTGELZVAOGR,194,15,138,1471,495,1785,2,QUZ5J7XJ92SZHV004PFD,1/1/2020 20:46:00.463,1,
63,A3FP6K4YPM1TDK,402,8,212,445,475,1718,18,2D52XHBJOBEQSWR1QSKO,1/1/2020 20:46:05.465,1,
64,A3FP6K4YPM1TDK,402,6,231,359,449,170,8,2D52XHBJOBEQSWR1QSKO,1/1/2020 20:46:05.465,1,
65,A610SH5RY1NG1,385,8,205,292,573,912,17,2FKJNJOT56RKVP71X7QN,1/1/2020 20:46:06.229,1,
73,A3NBJ2WSWYJPWY,470,20,22,358,335,858,22,ZUUE1BECBNERVOK8ROT3,1/1/2020 20:46:24.08,0,
66,AKCUBNWHZ22E1,174,12,258,703,470,899,14,OVJW558KCKK7H0B4PCHD,1/1/2020 20:46:18.082,1,
74,A15V2Z0JVLFIRS,391,15,215,535,484,670,42,OF3RB8H54AKRZPXD6NAB,1/1/2020 20:46:28.654,0,
70,AY5YTPK3ZL4IN,242,6,196,1207,497,1477,30,Y2RTOO10T14AAAAD7P40,1/1/2020 20:46:21.342,1,
71,AY5YTPK3ZL4IN,242,9,188,471,486,856,34,Y2RTOO10T14AAAAD7P40,1/1/2020 20:46:21.342,1,
72,ACTF0A4SXCOJB,416,21,178,627,467,1140,21,WIT4XU9NMBJ6QGUCIPID,1/1/2020 20:46:23.681,1,
75,A38DC3BG1ZCVZ2,251,10,231,528,476,752,21,9986LNJS13CGGF6SPHVY,1/1/2020 20:46:32.426,1,
69,AY5YTPK3ZL4IN,242,8,192,903,494,1197,19,Y2RTOO10T14AAAAD7P40,1/1/2020 20:46:21.342,1,
78,A1M6QZ12GMIBTW,200,19,116,1191,506,1528,22,DB2AOM5OFPMNO4X07TOM,1/1/2020 20:46:34.279,1,
79,A1M6QZ12GMIBTW,200,21,118,1530,498,1695,2,DB2AOM5OFPMNO4X07TOM,1/1/2020 20:46:34.279,1,
76,A1O4AAQX2KCD3N,173,6,185,608,587,1066,16,7U99RETUHSLWC40JM54D,1/1/2020 20:46:33.198,1,
77,A1O4AAQX2KCD3N,173,7,141,1088,524,1759,9,7U99RETUHSLWC40JM54D,1/1/2020 20:46:33.198,1,
80,A2MO6KP997CF10,50,6,115,1008,486,1396,15,MRAZIVMRDA0XWR401DDI,1/1/2020 20:46:36.983,1,
81,A28R9F75K0BA8J,359,17,196,466,509,845,12,7L692BXZRN6SKXSFN8MU,1/1/2020 20:46:38.187,1,
82,A28R9F75K0BA8J,359,15,185,851,504,1198,12,7L692BXZRN6SKXSFN8MU,1/1/2020 20:46:38.187,1,
83,A1TH1MWFVM2VPB,60,6,182,1064,508,1401,27,VKQOX30DQWKK7E7THR1X,1/1/2020 20:46:38.747,1,
93,A3696JXTRKL2FI,70,3,210,402,509,1106,14,9FIVU67PRA0CNT3L0ZSD,1/1/2020 20:46:44.894,1,
84,A7WCYUB783QNB,423,6,245,319,506,1535,16,EI3JMANWJ9VSDKHLIJGB,1/1/2020 20:46:39.771,1,
85,A7WCYUB783QNB,423,17,245,1552,490,1690,27,EI3JMANWJ9VSDKHLIJGB,1/1/2020 20:46:39.771,1,
88,A21D9YDJU8K2QI,32,17,166,1098,496,1433,18,3IPSG4GCUPSK8B4NMQWP,1/1/2020 20:46:41.345,1,
89,A21D9YDJU8K2QI,32,9,106,1619,521,1978,10,3IPSG4GCUPSK8B4NMQWP,1/1/2020 20:46:41.345,1,
90,A2IRBDN8JC2CTT,134,17,123,750,525,1091,19,U88O6AT46YMHHPMHP95N,1/1/2020 20:46:42.314,1,
91,A2IRBDN8JC2CTT,134,19,135,1147,521,1505,18,U88O6AT46YMHHPMHP95N,1/1/2020 20:46:42.314,1,
92,A3LXD82BMSRT2F,208,13,259,1313,437,1501,13,AV2SIQNFCM091REUEXGJ,1/1/2020 20:46:44.333,1,
94,A3L9VMKSTT7RQN,175,13,218,53,487,329,11,P3EOIV9D0J0GUBXR2S1O,1/1/2020 20:46:45.333,1,
95,A3L9VMKSTT7RQN,175,6,170,418,516,1003,2,P3EOIV9D0J0GUBXR2S1O,1/1/2020 20:46:45.333,1,
96,A3L9VMKSTT7RQN,175,6,167,1012,539,1502,5,P3EOIV9D0J0GUBXR2S1O,1/1/2020 20:46:45.333,1,
97,A3L9VMKSTT7RQN,175,6,167,1508,525,1984,5,P3EOIV9D0J0GUBXR2S1O,1/1/2020 20:46:45.333,1,
100,A3K2ES8HRZ7LKH,169,8,158,837,496,1567,13,VP410W0ZP1ZP2NVDF059,1/1/2020 20:46:51.021,1,
101,A3K2ES8HRZ7LKH,169,1,225,1589,526,1849,9,VP410W0ZP1ZP2NVDF059,1/1/2020 20:46:51.021,1,
98,A2SC7SYQ22RJBR,252,6,246,997,473,1481,17,YXOGL7DDWJBZE7CHRA7J,1/1/2020 20:46:49.866,1,
99,A2SC7SYQ22RJBR,252,5,170,632,503,836,14,YXOGL7DDWJBZE7CHRA7J,1/1/2020 20:46:49.866,1,
108,A20OJ1Q95TMP8B,497,17,189,217,428,486,9,45HXJ2X024VUNK0SYJA7,1/1/2020 20:46:58.925,1,
105,A1YTOWIG4C22AN,207,18,196,1281,475,910,13,7TRAXILPCAGN78Q8IB84,1/1/2020 20:46:57.471,1,
106,A1YTOWIG4C22AN,207,13,175,782,504,399,5,7TRAXILPCAGN78Q8IB84,1/1/2020 20:46:57.471,1,
104,AKXI55UNBFS4,35,6,238,722,496,1197,14,U4GMQ6X6I8R1N18396LV,1/1/2020 20:46:57.292,1,
111,A3PBF1TGMTWG9L,479,6,189,615,472,1022,16,68LN2C7EXXPUW1B6M2RS,1/1/2020 20:47:02.106,1,
112,A3PBF1TGMTWG9L,479,13,244,1040,463,1419,15,68LN2C7EXXPUW1B6M2RS,1/1/2020 20:47:02.106,1,
103,A2QWUHWM14P7R4,304,22,189,131,506,939,44,2NO3F40H28O5M4B9LMHH,1/1/2020 20:46:56.372,1,
109,AVZJ13QX1KJ68,24,6,144,852,235,1087,39,YLF1Y0TXZDRAJZ00A23H,1/1/2020 20:47:00.584,1,
110,AVZJ13QX1KJ68,24,9,148,592,231,843,14,YLF1Y0TXZDRAJZ00A23H,1/1/2020 20:47:00.584,1,
107,A3NFTGELZVAOGR,150,20,267,1225,478,1750,12,WB5NWBBJ4UGFT3LU3GWU,1/1/2020 20:46:58.1,1,
113,A2HWF3DPE0MDCN,99,13,108,365,517,979,14,1TYSU1O0ZYAIWNRH20XJ,1/1/2020 20:47:02.665,1,
114,A2HWF3DPE0MDCN,99,6,129,991,525,1602,10,1TYSU1O0ZYAIWNRH20XJ,1/1/2020 20:47:02.665,1,
115,A2HWF3DPE0MDCN,99,17,136,1605,485,2002,19,1TYSU1O0ZYAIWNRH20XJ,1/1/2020 20:47:02.665,1,
86,AZZHM0B0WDFX4,133,22,130,810,568,1124,26,3P8EP83N4F4MX07L099Q,1/1/2020 20:46:40.625,1,
87,AZZHM0B0WDFX4,133,15,108,1180,366,1409,16,3P8EP83N4F4MX07L099Q,1/1/2020 20:46:40.625,1,
116,A3KVKK1XLBTSN3,21,17,118,408,508,981,27,AT3BRNYN0315GCGC4AP1,1/1/2020 20:47:04.318,1,
117,A3KVKK1XLBTSN3,21,6,160,1431,501,985,11,AT3BRNYN0315GCGC4AP1,1/1/2020 20:47:04.318,1,
118,A3KVKK1XLBTSN3,21,6,167,1564,546,2004,21,AT3BRNYN0315GCGC4AP1,1/1/2020 20:47:04.318,1,
119,A34M93NJC830DP,470,15,222,244,458,1228,10,38FL88H26MAZI8ZSLZMN,1/1/2020 20:47:09.755,1,
102,A1CA6ZXKK09ZRI,266,10,180,371,477,766,12,Y267CU5IFINSIXXJKC0I,1/1/2020 20:46:55.467,1,
120,A2MO6KP997CF10,42,6,132,820,569,1390,12,1ODYIARGG2FCDZCPDL02,1/1/2020 20:47:17.777,1,
123,A3P7AZ2YH4ICQJ,10,17,101,146,474,526,6,LQ7H5L0YZALTCWCM6ZMX,1/1/2020 20:47:27.675,1,
124,A3P7AZ2YH4ICQJ,10,13,101,578,498,1016,1,LQ7H5L0YZALTCWCM6ZMX,1/1/2020 20:47:27.675,1,
68,A1Q4N7ZTNI9IKX,21,6,119,509,486,985,15,AYKYM74UP04Z3OWE1WLN,1/1/2020 20:46:18.697,0,1
125,A3P7AZ2YH4ICQJ,10,17,518,1806,197,1302,3,LQ7H5L0YZALTCWCM6ZMX,1/1/2020 20:47:27.675,1,
121,A1Q4N7ZTNI9IKX,416,21,175,634,462,1136,10,CZ76ZF1LDRQ1ZKKB807W,1/1/2020 20:47:17.968,1,
122,A1Q4N7ZTNI9IKX,416,19,204,1142,422,1398,13,CZ76ZF1LDRQ1ZKKB807W,1/1/2020 20:47:17.968,1,
126,A28R9F75K0BA8J,212,13,205,543,435,1119,15,8PPTKCXN73PDLTLU381X,1/1/2020 20:47:31.43,1,
127,A2B8I4RY96UYKQ,171,9,154,341,589,925,19,VZ7Z5PP24OI1O61Y2IO7,1/1/2020 20:47:36.704,1,
129,A3GCF0OSH6XSWT,107,8,1,1323,582,2003,31,VAWK6DVFVNVLF3T913EK,1/1/2020 20:47:42.019,1,
128,A1TH1MWFVM2VPB,4,8,149,1512,526,2006,22,RBTQZAMC81I1O8SPUYVG,1/1/2020 20:47:38.131,1,
130,A2QVMCGDLTWV9,242,8,192,911,493,1520,4,Y1X35ARWGK6SPWL9ZKFH,1/1/2020 20:47:44.485,1,
131,A3L9VMKSTT7RQN,410,15,225,425,465,675,10,4XEVD1885Y4TMXJEE6JS,1/1/2020 20:47:48.333,1,
132,A3L9VMKSTT7RQN,410,23,221,680,472,940,4,4XEVD1885Y4TMXJEE6JS,1/1/2020 20:47:48.333,1,
133,A3L9VMKSTT7RQN,410,13,228,1051,453,1334,1,4XEVD1885Y4TMXJEE6JS,1/1/2020 20:47:48.333,1,
134,A2A1E85FL1JAB9,122,13,90,788,541,1221,22,CXKFZ4LP7P34SS9PGZIT,1/1/2020 20:47:49.178,1,
137,A2LV5432PV1S39,391,15,138,3,505,680,3,HWMDWPX5INNSTCN6OZB4,1/1/2020 20:47:55.632,1,
135,AO2WNSGOXAX52,161,6,105,861,518,1454,15,VFYS6EUNJ2LRLJYCSZPI,1/1/2020 20:47:49.66,1,
138,A1O4AAQX2KCD3N,383,23,223,1141,578,1764,31,I05OLCXPRBNF26UOHKFT,1/1/2020 20:47:58.365,1,
139,A3XU8C72O6LCD,41,6,124,962,578,1753,21,PQ8JSW8VYWIYQXZPBVJJ,1/1/2020 20:48:02.321,1,
140,A3XU8C72O6LCD,41,6,574,952,122,253,11,PQ8JSW8VYWIYQXZPBVJJ,1/1/2020 20:48:02.321,1,
142,A7WCYUB783QNB,272,19,124,637,498,1687,24,RZWA489HAJARBKO6F35F,1/1/2020 20:48:07.361,1,
141,AQ5H9HKYEGCXA,260,7,207,75,468,578,20,FUAZ22TCBW9JFCQNPAEQ,1/1/2020 20:48:06.757,1,
146,A30N5H4N4C22N8,509,8,128,697,473,1212,19,9MV1AVFZYM1L9JSP8TVN,1/1/2020 20:48:20.892,0,
143,A3K2ES8HRZ7LKH,234,19,145,148,523,1559,28,TH94W1JUGEPE5MXI9VG0,1/1/2020 20:48:07.801,1,
148,A3FP6K4YPM1TDK,359,17,201,849,515,484,11,3X5L1UC8SW220ZTZKJ6Z,1/1/2020 20:48:24.055,0,
149,A3FP6K4YPM1TDK,359,23,193,1211,505,851,9,3X5L1UC8SW220ZTZKJ6Z,1/1/2020 20:48:24.055,0,
150,AY5YTPK3ZL4IN,348,23,225,454,491,625,18,61Y9KZ9NRX23TJN64HGQ,1/1/2020 20:48:27.056,1,
145,A3NFTGELZVAOGR,263,8,180,223,474,1563,12,CIZ0FWXR6FI01PWGW5R4,1/1/2020 20:48:17.815,1,
161,A3GCF0OSH6XSWT,389,20,149,1135,551,2006,16,PAGJQKBGZSF1DW6KO6MG,1/1/2020 20:48:42.775,1,
162,A3GCF0OSH6XSWT,389,6,270,807,386,983,4,PAGJQKBGZSF1DW6KO6MG,1/1/2020 20:48:42.775,1,
159,A28R9F75K0BA8J,466,20,255,395,441,1139,24,LCBT4C1E42TOEB2EP2LJ,1/1/2020 20:48:40.343,1,
154,ATUCGR0S3K69G,42,6,131,815,581,1412,26,6GY479SH6Z940KLUUMNW,1/1/2020 20:48:39.583,1,
155,ATUCGR0S3K69G,42,7,129,451,568,761,13,6GY479SH6Z940KLUUMNW,1/1/2020 20:48:39.583,1,
156,ATUCGR0S3K69G,42,6,137,1460,593,2004,32,6GY479SH6Z940KLUUMNW,1/1/2020 20:48:39.583,1,
160,ANVDIM96A57GD,406,8,188,430,482,739,23,RLX9786CRXQBLG5EVDUS,1/1/2020 20:48:41.913,1,
163,A3PBF1TGMTWG9L,397,17,217,562,487,831,9,QPM2RBJTO8FPI9L07IE9,1/1/2020 20:48:50.152,1,
164,A3PBF1TGMTWG9L,397,21,141,836,499,1205,3,QPM2RBJTO8FPI9L07IE9,1/1/2020 20:48:50.152,1,
165,AP37QQ9AABSY9,225,19,140,414,544,1585,17,FIPB5NMPW7QUTOLA33SJ,1/1/2020 20:48:51.281,1,
169,AVZJ13QX1KJ68,35,10,240,744,287,1196,16,WX1NXN63HN1VS7F7PVGW,1/1/2020 20:48:59.19,1,
170,AVZJ13QX1KJ68,35,12,311,1301,476,1464,23,WX1NXN63HN1VS7F7PVGW,1/1/2020 20:48:59.19,1,
171,AVZJ13QX1KJ68,35,23,309,1590,513,1745,14,WX1NXN63HN1VS7F7PVGW,1/1/2020 20:48:59.19,1,
172,A2IRBDN8JC2CTT,425,9,209,673,477,959,21,FW5LFYJ67LOWANB4L4KQ,1/1/2020 20:49:00.322,1,
173,A2IRBDN8JC2CTT,425,3,177,424,473,659,28,FW5LFYJ67LOWANB4L4KQ,1/1/2020 20:49:00.322,1,
174,A2IRBDN8JC2CTT,425,17,238,1196,481,1588,6,FW5LFYJ67LOWANB4L4KQ,1/1/2020 20:49:00.322,1,
175,A1TH1MWFVM2VPB,467,1,148,1496,529,1777,29,0VISESC1YAVKSU9KBLUH,1/1/2020 20:49:03.086,1,
185,A2SC7SYQ22RJBR,242,8,204,910,474,1462,15,T3IG0VYOLWLR231QXXFG,1/1/2020 20:49:13.816,0,
186,A2SC7SYQ22RJBR,242,13,189,532,528,824,10,T3IG0VYOLWLR231QXXFG,1/1/2020 20:49:13.816,0,
167,AZZHM0B0WDFX4,48,19,152,502,539,872,18,36HZ5OS5530YLV2EBBXS,1/1/2020 20:48:59.02,1,
168,AZZHM0B0WDFX4,48,7,140,1050,434,1184,11,36HZ5OS5530YLV2EBBXS,1/1/2020 20:48:59.02,1,
182,A6KEAUGFCTNQ6,269,8,168,925,538,1397,38,9BZ0029P0VD9X7MY7PHJ,1/1/2020 20:49:10.305,1,
183,A6KEAUGFCTNQ6,269,6,158,671,526,239,25,9BZ0029P0VD9X7MY7PHJ,1/1/2020 20:49:10.305,1,
184,A6KEAUGFCTNQ6,269,17,166,919,514,661,12,9BZ0029P0VD9X7MY7PHJ,1/1/2020 20:49:10.305,1,
176,A191YQ7LTQN0GO,28,6,119,385,485,93,18,II7LAAPRKNGDMVPK9DXG,1/1/2020 20:49:05.755,1,
177,A191YQ7LTQN0GO,28,8,252,1498,427,1363,18,II7LAAPRKNGDMVPK9DXG,1/1/2020 20:49:05.755,1,
180,A2UF2FRGVW4T89,61,23,133,587,509,1126,10,Y5UMOORW8G8KBTHM0OJW,1/1/2020 20:49:09.285,1,
166,AKXI55UNBFS4,90,22,217,945,414,1193,19,MST7IP9R6BHALIV0KLTX,1/1/2020 20:48:55.709,1,
179,AVM6Q11XOMNFL,99,6,82,248,326,1048,10,2P9LDBX9N4TYB5W22I6L,1/1/2020 20:49:08.737,1,
158,A2HITRHQ441VHA,70,2,513,427,227,1098,14,TRT88Z8YVD6G2WR28X98,1/1/2020 20:48:40.286,1,
136,AP37QQ9AABSY9,59,6,128,964,490,414,29,59FYU25O92Z5P4M55HDK,1/1/2020 20:47:53.214,1,
144,A1YTOWIG4C22AN,234,19,131,409,568,1601,22,B5PZXX3ZAD4S6AZ45QBO,1/1/2020 20:48:16.208,1,
147,A34FEDYGGZ4BN8,24,6,149,591,502,839,16,9DP7287DLQYU54641MBB,1/1/2020 20:48:21.452,1,
152,A3P7AZ2YH4ICQJ,95,3,81,446,498,2006,13,WSIHE4JWV02X8S87J9RP,1/1/2020 20:48:29.206,1,
151,A2QWUHWM14P7R4,498,17,202,694,462,967,16,1924IDHQEVAJFC5OI0EA,1/1/2020 20:48:27.205,1,
157,A2DDPSXH2X96RF,213,13,0,432,464,1163,28,H56LYMI9FRKG8CNRLSRU,1/1/2020 20:48:40.196,1,
178,AKCUBNWHZ22E1,73,22,293,800,481,1361,27,N9K27W87HJQK4L5079PG,1/1/2020 20:49:06,1,
187,AJTHGXBMZJ3HE,313,1,253,849,505,1281,12,1WLR2O9LYI1JNIZK28Y4,1/1/2020 20:49:19.563,1,
190,A38DC3BG1ZCVZ2,410,13,416,1321,240,1046,12,N6FWJOU5GLH8IE10GI0I,1/1/2020 20:49:24.44,1,
191,A38DC3BG1ZCVZ2,410,23,447,939,275,676,19,N6FWJOU5GLH8IE10GI0I,1/1/2020 20:49:24.44,1,
188,A30HV8W1WT55IO,400,6,230,757,480,1228,3,3OWWZVLG21S9AQRE1YES,1/1/2020 20:49:19.851,1,
189,A30HV8W1WT55IO,400,8,204,1234,516,1598,22,3OWWZVLG21S9AQRE1YES,1/1/2020 20:49:19.851,1,
192,A3FP6K4YPM1TDK,99,13,118,985,507,362,7,GNY59Q6TGARG4ZVYL61V,1/1/2020 20:49:34.559,1,
193,A3FP6K4YPM1TDK,99,6,158,365,517,170,5,GNY59Q6TGARG4ZVYL61V,1/1/2020 20:49:34.559,1,
194,A3FP6K4YPM1TDK,99,17,137,1589,485,1834,7,GNY59Q6TGARG4ZVYL61V,1/1/2020 20:49:34.559,1,
196,A1DA6S5V66LLDW,207,18,193,910,495,1292,18,RNZL677Q243PDSJZH7VI,1/1/2020 20:49:44.392,1,
197,A1DA6S5V66LLDW,207,6,173,791,505,459,4,RNZL677Q243PDSJZH7VI,1/1/2020 20:49:44.392,1,
195,A1QWBLJIMF1A5V,476,23,20,508,468,1500,10,ZY8VQDIWK30WXJVX5GDY,1/1/2020 20:49:42.701,1,
200,A1YTOWIG4C22AN,212,13,183,529,457,1198,12,0CXEJRD6WY0Q4QQ7DZDN,1/1/2020 20:49:49.493,1,
