lat,lng,labels,image_ids
40.78387852001854,-73.97758541935754,"[10, 10, 10]","[5, 5, 5]"
40.799529471273836,-73.96862029479533,"[6, 6, 6]","[175, 175, 175]"
40.799584545657424,-73.96859029397787,"[7, 6, 12, 6, 10, 6]","[175, 174, 174, 175, 175, 175]"
40.791493116307294,-73.97378171891604,"[6, 6, 6, 8]","[60, 60, 59, 59]"
40.80651456089492,-73.96530341673424,"[19]","[236]"
40.794112045201416,-73.97187285694426,"[15, 23, 26, 26, 26]","[112, 112, 107, 112, 112]"
40.78523499960292,-73.97660111716249,"[22, 22, 14, 26]","[13, 13, 13, 13]"
40.78389953645863,-73.97427661459693,"[22, 22, 22, 22]","[285, 285, 285, 285]"
40.78719585374236,-73.97516350509085,"[9, 19, 20, 9, 17]","[32, 31, 31, 31, 31]"
40.79809208770583,-73.96896839537484,"[17]","[157]"
40.78488637766305,-73.97661789222896,"[8]","[13]"
40.78682767035869,-73.97532144524729,"[8, 8]","[28, 28]"
40.79359188363589,-73.97225160207654,"[1, 17, 8, 17, 26]","[96, 99, 90, 96, 100]"
40.78686103373282,-73.97540043060745,"[17, 17, 17]","[27, 27, 27]"
40.798904826360015,-73.9683761365921,"[8, 8, 8, 8, 8, 13]","[168, 169, 168, 168, 169, 169]"
40.7876817182658,-73.97151294787881,"[22]","[257]"
40.79365756816016,-73.97220388708232,"[6, 6]","[96, 99]"
40.806106239824175,-73.96560092939335,"[19]","[239]"
40.79335825011303,-73.97241958139577,"[3, 3, 14, 26]","[95, 85, 85, 94]"
40.7973210126985,-73.96953137063721,"[22, 22, 22, 22, 26]","[146, 142, 146, 147, 147]"
40.79879433825661,-73.9690811370547,"[3, 3, 12, 6, 3]","[187, 187, 184, 184, 187]"
40.80071145911786,-73.96768399956154,"[6, 19]","[220, 220]"
40.800800545927785,-73.96766950505604,"[13]","[220]"
40.799040716560164,-73.9689018427854,"[18, 3]","[183, 183]"
40.798851590644084,-73.96903947044149,"[18]","[183]"
40.79240012664818,-73.97312299419184,"[17, 17, 17, 17]","[73, 72, 73, 73]"
40.79964343123403,-73.96855945709558,"[6, 6, 17, 7, 17]","[174, 175, 173, 175, 173]"
40.80770192721479,-73.9644348113262,"[19, 19, 19, 19, 19]","[225, 225, 225, 225, 225]"
40.806902105359015,-73.9650334527076,"[19, 19, 19]","[232, 232, 232]"
40.783249622921005,-73.97474136161816,"[14, 6, 6]","[292, 292, 292]"
40.78777533976885,-73.97144515230956,"[6, 6, 6, 6, 6, 6, 6, 6, 6]","[255, 255, 256, 256, 256, 256, 257, 255, 257]"
40.78278515811286,-73.97508134713974,"[13, 12, 8, 6]","[294, 294, 294, 294]"
40.78362119036937,-73.97757134639586,"[1]","[5]"
40.80516861600659,-73.96628623216189,"[4, 6, 7, 6, 6]","[248, 248, 248, 248, 248]"
40.79894231884948,-73.96897344560269,"[3, 3, 2]","[183, 183, 183]"
40.79881022552449,-73.96844474411219,"[8, 1, 6, 6]","[168, 169, 167, 167]"
40.80484117307414,-73.96652285928282,"[6, 10, 1, 6, 10]","[251, 251, 251, 250, 250]"
40.8009001213922,-73.96765218758397,"[6, 6, 26]","[221, 221, 221]"
40.78345966153122,-73.97458183123607,"[22]","[290]"
40.798456269118724,-73.96932779030898,"[15, 15, 22, 3, 22, 26, 26, 26, 26, 26]","[193, 194, 191, 191, 193, 193, 194, 194, 191, 193]"
40.787451346193514,-73.97497973467277,"[10, 7, 12, 19, 7]","[34, 34, 35, 35, 34]"
40.78244799561845,-73.97533060985094,"[22, 15, 8, 21, 22, 26, 3]","[296, 298, 298, 298, 296, 298, 298]"
40.785592365012455,-73.97303227775652,"[10, 6, 13]","[269, 269, 269]"
40.78729533097672,-73.97509376784471,"[17, 17, 3, 22]","[32, 32, 31, 32]"
40.795786026598634,-73.97064172498388,"[6]","[137]"
40.79845267643091,-73.96953528639385,"[6, 19, 13, 6]","[193, 193, 193, 193]"
40.80760426374216,-73.96479146537222,"[19]","[228]"
40.79797089668987,-73.96905596020783,"[26, 6, 6, 17, 17, 17]","[156, 157, 157, 156, 156, 156]"
40.7979279841088,-73.96908696607869,"[26, 26, 26, 26]","[156, 156, 156, 156]"
40.79755773619368,-73.96907090603338,"[26]","[156]"
40.79163081206712,-73.9736800863314,"[26]","[61]"
40.79654345444404,-73.97003906021057,"[26]","[141]"
40.796172689498036,-73.97009441006735,"[22]","[141]"
40.791683515043445,-73.97345438450253,"[26, 9]","[62, 62]"
40.79498958124773,-73.97082366848174,"[4]","[123]"
40.78629127555311,-73.97252184156523,"[8, 7]","[266, 266]"
40.78569820394804,-73.97295484906903,"[6, 8, 8, 8, 8, 6]","[269, 269, 269, 269, 268, 269]"
40.78806428268825,-73.97452851859781,"[6, 6]","[42, 42]"
40.798302180865306,-73.96943905531089,"[21, 21, 21, 21, 26, 10]","[194, 194, 195, 195, 195, 193]"
40.79856227315656,-73.96862452643117,"[26]","[166]"
40.796208437046225,-73.97017954875555,"[22]","[141]"
40.79596169691748,-73.97052112623716,"[16, 16, 16]","[140, 140, 140]"
40.79416336253634,-73.97183583697627,"[26, 26]","[107, 112]"
40.79424177779225,-73.97177935577182,"[26, 26, 26, 26, 26]","[107, 108, 108, 108, 108]"
40.78575868439937,-73.97621559434192,"[26, 8, 8, 8, 19]","[16, 16, 19, 16, 16]"
40.80103265129347,-73.96762929145109,"[26, 19, 22]","[221, 223, 223]"
40.80531996123416,-73.96617679913362,"[26, 7, 16, 16]","[246, 246, 246, 246]"
40.787019879118795,-73.97199247895091,"[26]","[262]"
40.78219386298359,-73.97551519942031,"[26, 26]","[299, 299]"
40.798507941555755,-73.96866392425164,"[17, 17, 17]","[166, 166, 166]"
40.78625334306396,-73.97254956266589,"[6, 8, 8, 8]","[266, 266, 266, 266]"
40.786348117323975,-73.97248030154276,"[21]","[266]"
40.78577597380944,-73.97289795489996,"[7, 26, 26]","[268, 269, 268]"
40.795438083216425,-73.97089945685019,"[10, 3, 8, 3, 8, 3, 8]","[131, 132, 131, 132, 131, 132, 131]"
40.80656671677798,-73.96526505905317,"[19]","[236]"
40.798712424235504,-73.96933221011767,"[26]","[194]"
40.80028200355973,-73.9677532914552,"[22, 22, 22, 22]","[214, 216, 216, 216]"
40.80014892575541,-73.9677964650196,"[8, 8, 26]","[214, 214, 212]"
40.80009679831605,-73.96781334679183,"[21, 21, 21]","[214, 214, 214]"
40.78793327560408,-73.97132542375783,"[22, 26]","[253, 253]"
40.797216582553865,-73.96960836727038,"[10, 5, 10, 13, 10]","[145, 142, 142, 145, 145]"
40.795353370835024,-73.97096118743471,"[26, 26, 26, 26, 26]","[131, 131, 130, 130, 130]"
40.79606850724791,-73.97044343379832,"[18]","[140]"
40.8050256951702,-73.96647459270795,"[26]","[250]"
40.794409406884796,-73.97157343768744,"[13]","[116]"
40.79379821777072,-73.97210187806292,"[6, 6, 6, 6, 6]","[100, 99, 100, 100, 100]"
40.785564697169875,-73.97626053897797,"[6, 6, 6]","[16, 19, 16]"
40.78681706573022,-73.97214035475176,"[8, 8]","[263, 263]"
40.79401745037391,-73.97194109699394,"[26, 26]","[112, 112]"
40.80753814214374,-73.96463432869389,"[19]","[228]"
40.797887007021956,-73.96911657348596,"[3, 21]","[156, 156]"
40.794628121346264,-73.9711116545607,"[26, 26]","[120, 116]"
40.798042471308584,-73.9690042449921,"[6, 17, 17, 12, 17]","[156, 158, 157, 157, 157]"
40.79784590781496,-73.96914626912938,"[26, 12, 9, 26, 26]","[156, 153, 156, 156, 156]"
40.79467332185825,-73.97107006709955,"[26, 1, 23, 19, 26, 26, 17, 17, 3, 17]","[120, 117, 120, 120, 117, 117, 122, 122, 117, 122]"
40.78371376117977,-73.97439591760092,"[12, 7, 17]","[289, 289, 289]"
40.795392606124274,-73.9709325963681,"[23, 8, 23, 15, 15, 15, 8]","[130, 132, 131, 131, 130, 130, 132]"
40.794324599473526,-73.97171976784453,"[26, 26]","[108, 108]"
40.78366799140322,-73.97442938001498,"[26, 17, 6]","[289, 288, 289]"
40.78361960863239,-73.97446475279664,"[6, 8, 8]","[289, 289, 289]"
40.78741013854729,-73.9750098537772,"[19, 23, 19, 26, 26, 26, 26]","[33, 35, 34, 33, 33, 33, 33]"
40.791897697044945,-73.97349183822841,"[10, 10, 10, 6, 10, 10, 10, 10, 10]","[63, 63, 66, 66, 66, 62, 63, 63, 63]"
40.79215882553382,-73.9732987057898,"[26, 26, 26, 22, 26]","[72, 72, 72, 72, 72]"
40.792257694326956,-73.97322669124472,"[17, 22, 22, 22]","[72, 72, 72, 72]"
40.79234725381773,-73.97316147702661,"[22, 8, 17, 17, 17]","[72, 72, 72, 73, 73]"
40.79221493907666,-73.97325783352736,"[26, 26]","[72, 72]"
40.796026457497206,-73.97047402023759,"[13, 19, 20]","[137, 137, 140]"
40.792544128283936,-73.97301818438488,"[8]","[73]"
40.7924669848935,-73.9730743322461,"[19, 3, 3]","[73, 73, 73]"
40.80537253214083,-73.96613880765322,"[26]","[246]"
40.7855725439978,-73.97634852284267,"[21, 6]","[16, 14]"
40.78800831727661,-73.97456932206526,"[6, 6, 6, 6]","[41, 42, 41, 41]"
40.807171416273036,-73.964823732241,"[19, 19, 19, 19]","[229, 229, 229, 229]"
40.79739575473373,-73.97009063701009,"[6, 9, 17, 6]","[208, 208, 208, 208]"
40.79230183243109,-73.97319454171209,"[21, 6, 22, 26, 22, 26]","[72, 72, 72, 72, 72, 72]"
40.79755675287872,-73.96935746093392,"[26, 20, 22, 9, 12, 26]","[147, 150, 147, 147, 150, 147]"
40.78682349230925,-73.97543834643561,"[6, 9, 6, 6]","[24, 24, 24, 24]"
40.78678460543148,-73.97546681353703,"[6, 6, 6]","[24, 24, 24]"
40.80501130385966,-73.96640069358386,"[26]","[250]"
40.785924281682746,-73.97609427967434,"[6, 6, 6]","[21, 21, 21]"
40.805057208749574,-73.96636685806375,"[26]","[248]"
40.80702426165677,-73.96494189024652,"[3]","[230]"
40.79566723936855,-73.9706041722695,"[6]","[134]"
40.78564805248415,-73.97299153842161,"[17, 17, 17, 17, 17]","[269, 269, 269, 269, 269]"
40.795632566607914,-73.97075772476481,"[6]","[133]"
40.795573934588795,-73.97080045742545,"[4, 22, 4, 4, 8]","[133, 133, 133, 133, 133]"
40.78445342070779,-73.97386346474268,"[5, 6, 8, 8]","[281, 281, 281, 281]"
40.78667227588164,-73.97554900517434,"[6, 6, 6, 6, 21]","[22, 22, 22, 22, 22]"
40.78359601500336,-73.97751134947349,"[8]","[4]"
40.79977139147511,-73.96849244756423,"[26, 19, 7, 9, 9, 19, 7]","[171, 173, 173, 171, 171, 173, 171]"
40.78449640247979,-73.9738320990437,"[8, 6]","[281, 281]"
40.78437944072352,-73.97391747143342,"[8, 8]","[281, 281]"
40.79342352985973,-73.97237289419911,"[3, 3, 3, 3]","[94, 88, 95, 88]"
40.807517612270544,-73.96458511411379,"[19, 19]","[228, 228]"
40.807059664662575,-73.96491535889726,"[19, 19, 19, 19]","[230, 230, 230, 230]"
40.788003135790085,-73.97127453292896,"[22, 22, 22]","[253, 253, 253]"
40.78430454885149,-73.97727354432706,"[6, 6]","[8, 8]"
